seed,method,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,rtn,3,transformer.h.0.attn.c_attn,768,2304,0.2048440711602838,,,
0,rtn,3,transformer.h.0.attn.c_proj,768,768,0.23057424175873883,,,
0,rtn,3,transformer.h.0.mlp.c_fc,768,3072,0.17954921426184828,,,
0,rtn,3,transformer.h.0.mlp.c_proj,3072,768,0.6729156189885257,,,
0,rtn,3,transformer.h.1.attn.c_attn,768,2304,0.23649633660806915,,,
0,rtn,3,transformer.h.1.attn.c_proj,768,768,0.9169048873187252,,,
0,rtn,3,transformer.h.1.mlp.c_fc,768,3072,0.20744753904886917,,,
0,rtn,3,transformer.h.1.mlp.c_proj,3072,768,0.6394322361873885,,,
0,rtn,3,transformer.h.2.attn.c_attn,768,2304,0.20208794755523118,,,
0,rtn,3,transformer.h.2.attn.c_proj,768,768,0.7621696565840944,,,
0,rtn,3,transformer.h.2.mlp.c_fc,768,3072,0.21128086195121493,,,
0,rtn,3,transformer.h.2.mlp.c_proj,3072,768,0.21555014980696985,,,
0,rtn,3,transformer.h.3.attn.c_attn,768,2304,0.20322370736273457,,,
0,rtn,3,transformer.h.3.attn.c_proj,768,768,0.5648828419504779,,,
0,rtn,3,transformer.h.3.mlp.c_fc,768,3072,0.19314422089834649,,,
0,rtn,3,transformer.h.3.mlp.c_proj,3072,768,0.9312766013769311,,,
0,rtn,3,transformer.h.4.attn.c_attn,768,2304,0.22002113447711194,,,
0,rtn,3,transformer.h.4.attn.c_proj,768,768,0.5764130855375602,,,
0,rtn,3,transformer.h.4.mlp.c_fc,768,3072,0.2173900714109568,,,
0,rtn,3,transformer.h.4.mlp.c_proj,3072,768,0.6838775664071544,,,
0,rtn,3,transformer.h.5.attn.c_attn,768,2304,0.2783900930127714,,,
0,rtn,3,transformer.h.5.attn.c_proj,768,768,0.49340498920765885,,,
0,rtn,3,transformer.h.5.mlp.c_fc,768,3072,0.2061564796511019,,,
0,rtn,3,transformer.h.5.mlp.c_proj,3072,768,0.7037466008269475,,,
0,rtn,3,transformer.h.6.attn.c_attn,768,2304,0.2728876261322246,,,
0,rtn,3,transformer.h.6.attn.c_proj,768,768,0.463636873232755,,,
0,rtn,3,transformer.h.6.mlp.c_fc,768,3072,0.20754313941707606,,,
0,rtn,3,transformer.h.6.mlp.c_proj,3072,768,0.7214396161722295,,,
0,rtn,3,transformer.h.7.attn.c_attn,768,2304,0.2806866677126006,,,
0,rtn,3,transformer.h.7.attn.c_proj,768,768,0.3666887347176479,,,
0,rtn,3,transformer.h.7.mlp.c_fc,768,3072,0.20070777952298585,,,
0,rtn,3,transformer.h.7.mlp.c_proj,3072,768,0.7032141752724336,,,
0,rtn,3,transformer.h.8.attn.c_attn,768,2304,0.2815380316830097,,,
0,rtn,3,transformer.h.8.attn.c_proj,768,768,0.4236117960096782,,,
0,rtn,3,transformer.h.8.mlp.c_fc,768,3072,0.1989322124203674,,,
0,rtn,3,transformer.h.8.mlp.c_proj,3072,768,0.7194431238397542,,,
0,rtn,3,transformer.h.9.attn.c_attn,768,2304,0.298521462752261,,,
0,rtn,3,transformer.h.9.attn.c_proj,768,768,0.33005834094606035,,,
0,rtn,3,transformer.h.9.mlp.c_fc,768,3072,0.2008687589259199,,,
0,rtn,3,transformer.h.9.mlp.c_proj,3072,768,0.6973393819273981,,,
0,rtn,3,transformer.h.10.attn.c_attn,768,2304,0.3016979392661212,,,
0,rtn,3,transformer.h.10.attn.c_proj,768,768,0.31492702546692447,,,
0,rtn,3,transformer.h.10.mlp.c_fc,768,3072,0.21039194628399585,,,
0,rtn,3,transformer.h.10.mlp.c_proj,3072,768,0.6251774495798682,,,
0,rtn,3,transformer.h.11.attn.c_attn,768,2304,0.35373057839018385,,,
0,rtn,3,transformer.h.11.attn.c_proj,768,768,0.12991679831734476,,,
0,rtn,3,transformer.h.11.mlp.c_fc,768,3072,0.2133514405481365,,,
0,rtn,3,transformer.h.11.mlp.c_proj,3072,768,0.6642077004260643,,,
