seed,method,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,rtn,4,transformer.h.0.attn.c_attn,768,2304,0.09495895751734913,,,
0,rtn,4,transformer.h.0.attn.c_proj,768,768,0.1079334382002491,,,
0,rtn,4,transformer.h.0.mlp.c_fc,768,3072,0.08098547772796773,,,
0,rtn,4,transformer.h.0.mlp.c_proj,3072,768,0.3449347936375193,,,
0,rtn,4,transformer.h.1.attn.c_attn,768,2304,0.1054263928801658,,,
0,rtn,4,transformer.h.1.attn.c_proj,768,768,0.46081288753605054,,,
0,rtn,4,transformer.h.1.mlp.c_fc,768,3072,0.08931337724039516,,,
0,rtn,4,transformer.h.1.mlp.c_proj,3072,768,0.27571033265351197,,,
0,rtn,4,transformer.h.2.attn.c_attn,768,2304,0.09501820598110404,,,
0,rtn,4,transformer.h.2.attn.c_proj,768,768,0.3453569280675198,,,
0,rtn,4,transformer.h.2.mlp.c_fc,768,3072,0.08982255739759891,,,
0,rtn,4,transformer.h.2.mlp.c_proj,3072,768,0.10111307532308897,,,
0,rtn,4,transformer.h.3.attn.c_attn,768,2304,0.09204557995208563,,,
0,rtn,4,transformer.h.3.attn.c_proj,768,768,0.25751289998073523,,,
0,rtn,4,transformer.h.3.mlp.c_fc,768,3072,0.08189405250920104,,,
0,rtn,4,transformer.h.3.mlp.c_proj,3072,768,0.40199303527538044,,,
0,rtn,4,transformer.h.4.attn.c_attn,768,2304,0.09658304109429387,,,
0,rtn,4,transformer.h.4.attn.c_proj,768,768,0.2467984261022416,,,
0,rtn,4,transformer.h.4.mlp.c_fc,768,3072,0.0906782690420282,,,
0,rtn,4,transformer.h.4.mlp.c_proj,3072,768,0.2975791689141216,,,
0,rtn,4,transformer.h.5.attn.c_attn,768,2304,0.1265152102160225,,,
0,rtn,4,transformer.h.5.attn.c_proj,768,768,0.22129280055378245,,,
0,rtn,4,transformer.h.5.mlp.c_fc,768,3072,0.0873303860462147,,,
0,rtn,4,transformer.h.5.mlp.c_proj,3072,768,0.3127280846654516,,,
0,rtn,4,transformer.h.6.attn.c_attn,768,2304,0.12576981820084857,,,
0,rtn,4,transformer.h.6.attn.c_proj,768,768,0.20359421971982083,,,
0,rtn,4,transformer.h.6.mlp.c_fc,768,3072,0.0884713647470879,,,
0,rtn,4,transformer.h.6.mlp.c_proj,3072,768,0.3272993068276792,,,
0,rtn,4,transformer.h.7.attn.c_attn,768,2304,0.12889524569209534,,,
0,rtn,4,transformer.h.7.attn.c_proj,768,768,0.1580300298371061,,,
0,rtn,4,transformer.h.7.mlp.c_fc,768,3072,0.0865480765611965,,,
0,rtn,4,transformer.h.7.mlp.c_proj,3072,768,0.30705448729538193,,,
0,rtn,4,transformer.h.8.attn.c_attn,768,2304,0.12689031592701713,,,
0,rtn,4,transformer.h.8.attn.c_proj,768,768,0.17743486177919404,,,
0,rtn,4,transformer.h.8.mlp.c_fc,768,3072,0.08631916628340605,,,
0,rtn,4,transformer.h.8.mlp.c_proj,3072,768,0.31205492420581254,,,
0,rtn,4,transformer.h.9.attn.c_attn,768,2304,0.1303981521849044,,,
0,rtn,4,transformer.h.9.attn.c_proj,768,768,0.14459604734738585,,,
0,rtn,4,transformer.h.9.mlp.c_fc,768,3072,0.08695312628223144,,,
0,rtn,4,transformer.h.9.mlp.c_proj,3072,768,0.29402272453598577,,,
0,rtn,4,transformer.h.10.attn.c_attn,768,2304,0.13590698441487517,,,
0,rtn,4,transformer.h.10.attn.c_proj,768,768,0.13827357625974915,,,
0,rtn,4,transformer.h.10.mlp.c_fc,768,3072,0.08994220832682241,,,
0,rtn,4,transformer.h.10.mlp.c_proj,3072,768,0.31765807943296376,,,
0,rtn,4,transformer.h.11.attn.c_attn,768,2304,0.15791346409976634,,,
0,rtn,4,transformer.h.11.attn.c_proj,768,768,0.03932403890185324,,,
0,rtn,4,transformer.h.11.mlp.c_fc,768,3072,0.08974416190634385,,,
0,rtn,4,transformer.h.11.mlp.c_proj,3072,768,0.2844056259515433,,,
0,rtn,4,lm_head,768,50257,0.0429419661897012,,,
0,gptq_proxy,4,transformer.h.0.attn.c_attn,768,2304,0.08623291339987639,,,
0,gptq_proxy,4,transformer.h.0.attn.c_proj,768,768,0.07613692218441102,,,
0,gptq_proxy,4,transformer.h.0.mlp.c_fc,768,3072,0.06989847205962481,,,
0,gptq_proxy,4,transformer.h.0.mlp.c_proj,3072,768,0.24348223050237025,,,
0,gptq_proxy,4,transformer.h.1.attn.c_attn,768,2304,0.06860098306168509,,,
0,gptq_proxy,4,transformer.h.1.attn.c_proj,768,768,0.2867203574008733,,,
0,gptq_proxy,4,transformer.h.1.mlp.c_fc,768,3072,0.06731540716605276,,,
0,gptq_proxy,4,transformer.h.1.mlp.c_proj,3072,768,0.16955823198962322,,,
0,gptq_proxy,4,transformer.h.2.attn.c_attn,768,2304,0.06631278601004355,,,
0,gptq_proxy,4,transformer.h.2.attn.c_proj,768,768,0.22149452295679278,,,
